|------
|NOME|CNPJ|SITE|EMAIL|DDD TELEFONE|TELEFONE|DDD CELULAR|CELULAR
|LABOTEST CONSULTORIA E TECNOLOGIA SC LTDA|52373826000108|NULL|alicia@labotest.com.br|11|38363600|NULL|NULL
|OTO ANALISE LTDA|01936479000135|NULL|otoanalise@gmail.com|11|32050659|NULL|NULL
|ALE ODONTO CLINICA ODONTOLOGICA LTDA|10773937000153|NULL|NULL|11|36415610|NULL|NULL
|NEW ACCOUNT CONSULTORIA E CONTABILIDADE SS LTDA |09204879000168|www.newaccount.com.br|na@newaccount.com.br|11|45088089|NULL|NULL
|D LOGISTICA LTDA |11218182000198|NULL|NULL|11|31013838|NULL|NULL
|PIRAMIDE CORRETORA E ADMINISTRADORA DE SEGUROS LTDA|48089361000182|NULL|NULL|11|29105657|NULL|NULL
|PASP Comércio e Representacão LTDA|61758496000151|NULL|NULL|11|37435546|NULL|NULL
|BONAS COMERCIO DE CARNES LTDA - EPP|01502492000186|NULL|bonascarnes@gmail.com|11|27171738|NULL|NULL
|MEC-Q COMERCIO E SERVICOS DE METROLOGIA INDUSTRIAL LTDA |96513486000300|NULL|NULL|15|32284099|NULL|NULL
|MEC-Q COMERCIO E CALIBRACOES INDUSTRIAIS LTDA |03695128000105|NULL|NULL|15|32284099|NULL|NULL
|MEC-Q COMERCIO E SERVICOES DE METROLOGIA INDUSTRIAL LTDA |96513486000211|NULL|NULL|12|21236100|NULL|NULL
|ZEBRA TECHNOLOGIES DO BRASIL - COMERCIO DE PRODUTO|09021935000129|NULL|NULL|11|31381461|NULL|NULL
|WAVE SOLUTIONS INFORMATICA EIRELI |13566045000170|www.wavesolutions.com.br|NULL|11|23395807|NULL|NULL
|MORO, GARBELINE E CALDERANI - ASSESSRIA, CONSULTORIA, ADMINI|12156564000105|NULL|qualisegseguros@yahoo.com.br|11|34478797|NULL|NULL
|DOUGLAS DOS SANTOS PELISSER - MOLAS - ME|06345861000198|NULL|danfe@mgomolas.com.br|11|27471656|NULL|NULL
|MEC-Q COMERCIO E SERVICOS DE METROLOGIA INDUSTRIAL LTDA|96513486000483|NULL|miguel.rj@mecq.com.br|21|22449539|NULL|NULL
|NEWMOLD INDUSTRIA E COMERCIO DE MOLDES LTDA|02244062000174|NULL|NULL|11|40542332|NULL|NULL
|CASA DE CARNES A.S.M LTDA |00363037000184|00.363.037/0001-84|NULL|11|20520086|NULL|NULL
|FRANCO E MARTINES MOVEIS E EQUIP. PARA ESCRITORIO LTDA ME|00398244000174|NULL|NULL|11|33262965|NULL|NULL
|JRTECH INFORMATICA LTDA|12889702000157|www.jrtech.com.br|comercial@jrtech.com.br|11|22071444|NULL|NULL
|ADAPT CONSULTORIA EMPRESARIAL LTDA |00527848000173|NULL|adapt@terra.com.br|11|32939999|NULL|NULL
|ORGANIZACAO CONTABIL PROGRESSO LTDA|60848488000133|NULL|NULL|11|22749433|NULL|NULL
|MEC-Q METROLOGIA E COMÉRCIO DE INSTRUMENTOS LTDA|05623036000145|NULL|NULL|31|35311215|NULL|NULL
|PRINTER PLUS CONFECCOES LTDA - EPP|56870421000128|NULL|printerplus@terra.com.br|11|39041563|NULL|NULL
|CENTRO AUTOMOTIVO CART LTDA|59581371000157|NULL|NULL|11|50605555|NULL|NULL
|João Marcelo Ferreira Salafia|12346970000122|NULL|jmsalafia@gmail.com|11|82654218|NULL|NULL
|CREMAC AR CONDICIONADO LTDA - EPP|60405552000101|NULL|NULL|11|32535197|NULL|NULL
|RODRIGO PIVA EMPRESA TESTE ME|26527481000181|NULL|NULL|NULL|NULL|NULL|NULL
|DSL TONER LTDA EPP|10659882000155|NULL|vendas@dslbrasil.com|11|23645161|NULL|NULL
|LIGER ENGENHARIA LTDA|59189340000155|NULL|NULL|11|39041155|NULL|NULL
|DIGISENSOR SISTEMAS DE SEGURANCA LTDA|01775353000126|NULL|NULL|11|38330085|NULL|NULL
|MEC-Q COMERCIO E PRESTACAO DE SERVICOS METROLOGICOS LTDA|08843950000190|NULL|miguel.rj@mecq.com.br|24|22318989|NULL|NULL
|A MARCA DO COURO COMÉRCIO E SERVIÇO DE REVESTIMENTO LTDA-EPP|01679972000117|NULL|NULL|11|56411906|NULL|NULL
|PORTAL COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS QUIMICOS|52460334000141|NULL|NULL|11|26045674|NULL|NULL
|Praticolar Comércio de Utilidades para o Lar Ltda - ME|11634525000103|www.praticolar.com.br|NULL|11|25320850|NULL|NULL
|PORTUPACK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA - EPP|04091370000132|NULL|NULL|11|24361235|NULL|NULL
|Progresso COntabil|62862511000170|NULL|NULL|NULL|NULL|NULL|NULL
|Ciro Filippini|08543226000140|NULL|NULL|11|NULL|NULL|NULL
|Ciro teste|62251769000130|NULL|NULL|11|NULL|NULL|NULL
|Leonardo Pacheco Ltda|51969878000170|www.|NULL|11|22151179|NULL|NULL
|Leandro Lda|82231986000175|NULL|NULL|NULL|NULL|NULL|NULL
|Fabio Ltda|07517636000154|NULL|NULL|11|96805947|NULL|NULL
|Marcelo Ltda|22513053000149|NULL|NULL|11|82654218|NULL|NULL
|Thamires Ltda|16438358000130|NULL|NULL|NULL|NULL|NULL|NULL
|Luiz Ltda |65034519000136|NULL|NULL|NULL|NULL|NULL|NULL
|Regis Ltda|71589631000136|NULL|NULL|NULL|NULL|NULL|NULL
|TECH IN PLAS INDUSTRIA E COMERCIO LTDA - EPP|04637853000190|NULL|NULL|11|26950613|NULL|NULL
|MEC-Q SOLUCOES DE METROLOGIA INDUSTRIAL LTDA - EPP|04473632000123|NULL|NULL|71|36276141|NULL|NULL
| SERVAMEC - SERVICOS ADMINISTRATIVOS E MANUTENCAO LTDA - EPP|15600129000108|NULL|NULL|71|36276141|NULL|NULL
|GRUNOX EQUIPAMENTOS PARA GASTRONOMIA LTDA|10777579000157|NULL|NULL|11|27436288|NULL|NULL
|NOGAL MARCENARIA ARTE E COMERCIO DE MOVEIS LTDA - ME|03118232000137|NULL|NULL|11|41237860|NULL|NULL
|ALMARAZ SERVICOS CONTABEIS LTDA - ME|08277571000180|NULL|NULL|11|43302255|NULL|NULL
|ADERENCIA PISOS E REVESTIMENTOS LTDA - ME|01604290000145|NULL|NULL|11|23648172|NULL|NULL
|LABORSAN COMERCIO E IMPORTAÇÃO DE CORANTES E POLÍMEROS LTDA|02215956000136|www.laborsanbrasil.com|NULL|11|40614400|NULL|NULL
|LAERT L. SPINELI GIAROLA - ME|14415002000156|NULL|NULL|11|87952746|NULL|NULL
|ARQTEC REVESTIMENTOS METALICOS E SERVICOS LTDA - EPP   |02909288000147|NULL|NULL|11|29158166|NULL|NULL
|OLIVERTEC EQUIPAMENTOS HOSPITALARES LTDA - EPP|07295277000138|NULL|NULL|11|29587222|NULL|NULL
|LEVTRADE - COMERCIAL, IMPORTADORA E EXPORTADORA LTDA.|13590415000104|www.levtrade.com.br|NULL|11|41632854|NULL|NULL
|EM FOCO PROJETOS E INSTALACOES DE PAINEIS LTDA - EPP|05264292000193|NULL|NULL|11|29158166|NULL|NULL
|ISABELA PETERNELLI ABRELL - EPP|13667533000173|NULL|NULL|11|26950613|NULL|NULL
|ALUCOTEX COMERCIO DE REVESTIMENTOS E ACESSORIOS LTDA-EPP|07669538000132|NULL|NULL|11|20628355|NULL|NULL
|MI COMERCIO E IMPORTACAO DE REVESTIMENTOS EIRELI EPP|07289074000139|NULL|NULL|11|31205321|NULL|NULL
|UTIL KIKO INDUSTRIA E COMERCIO LTDA|53069498000105|NULL|NULL|11|20434055|NULL|NULL
|F &amp; F CAVALCANTE INDUSTRIA E COMERCIO LTDA - ME|09666102000115|NULL|NULL|11|26849042|NULL|NULL
|CLUBE ASSOCIATIVO DOS SUBOFICIAIS E SARGENTOS DA AERONAUTICA|04100975000142|NULL|NULL|NULL|NULL|NULL|NULL
|MAGSYSTEM - AUDIO VIDEO LTDA.|04746398000160|NULL|NULL|NULL|NULL|NULL|NULL
|PROBIOTA - PAISAGISMO E CONSULTORIA AMBIENTAL LTDA - ME |08488202000136|NULL|NULL|NULL|NULL|NULL|NULL
|CONTEC INSTALACOES LTDA|02665086000105|NULL|NULL|11|33926565|NULL|NULL
resa Grupo 1 Teste|57844762000191|NULL|NULL|NULL|NULL|NULL|NULL
|GOMES ASSESSORIA EMPRESARIAL LTDA|07672091000150|NULL|NULL|NULL|NULL|NULL|NULL
|AMEC-Q MANUTENCAO E SERVICOS ADMINISTRATIVOS LTDA EPP|14948369000216|B|NULL|NULL|NULL|NULL|NULL
|MMI - SERVICOS DE MANUTENCAO LTDA|06280179000164|NULL|NULL|NULL|NULL|NULL|NULL
|AMEC-Q MANUTENÇÃO E SERVIÇOS ADMINISTRATIVOS LTDA EPP|14948369000488|NULL|NULL|NULL|NULL|NULL|NULL
|CASA DE CARNES A.S.M LTDA - EPP|00363037000265|NULL|NULL|11|26742020|NULL|NULL
|CBC FLEX COMERCIO DE ADESIVOS LTDA EPP|12838333000173|www.cbcflexsi.com.br|NULL|11|25385554|NULL|NULL
|HABEAS CONTABIL SS LTDA|04340680000143|WWW.HABEASCONTABIL.COM.BR|NULL|11|35626388|NULL|NULL
|ONLY TOYS COMERCIO IMPORTACAO E EXPORTACAO LTDA|03401147000181|NULL|NULL|11|32291907|NULL|NULL
|TODO A BRASIL COMERCIO DE PRESENTES LTDA - ME|05325067000110|NULL|NULL|11|32291907|NULL|NULL
|RFX-MEDICAL COMERCIO E IMPORTACAO DE PRODUTOS CIRURGICOS LTD|12286230000148|www.rfxmedical.com.br|NULL|11|43011517|NULL|NULL
|MINIMUNDI CORTES A LASER LTDA-EPP|17795736000104|NULL|NULL|11|45514001|NULL|NULL
|ECHO WATER FILTROS COMERCIO E SERVICOS LTDA - EPP|02893209000157|www.echowater.com.br|NULL|11|50940110|NULL|NULL
|FAZER DISPLAY COMUNICACAO VISUAL LTDA - ME|11551308000141|NULL|NULL|11|38340155|NULL|NULL
|GFB ASSESSORIA CONTABIL LTDA. - ME|07979451000161|NULL|NULL|11|32842828|NULL|NULL
|INECOM EQUIPAMENTOS E MANUTENCAO LTDA - ME|07359407000159|NULL|NULL|11|27415200|NULL|NULL
|INECOM EQUIPAMENTOS E INSTALACOES LTDA|04435965000168|NULL|NULL|11|27415200|NULL|NULL
|LIDINEL INDUSTRIA METALURGICA LTDA|50620491000141|NULL|NULL|11|20517457|NULL|NULL
|BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICA|11082598000121|NULL|NULL|11|55252569|NULL|NULL
|LABORATORIOS EXPANSCIENCE COMERCIO IMPORTACAO E EXPORTACAO D|08160941000102|NULL|NULL|11|32622903|NULL|NULL
|DEXTRA DO BRASIL COMERCIO DE COMPONENTES PARA A CONSTRUCAO |11273013000150|NULL|NULL|11|55052475|NULL|NULL
|PRONUPTIA CASAMENTOS IMPORTACAO E EXPORTACAO LTDA.|14802364000108|NULL|NULL|11|25374019|NULL|NULL
|ESCRITORIO VITORIA SERVICOS CONTABEIS S/S LTDA|59838276000196|NULL|NULL|11|29182322|NULL|NULL
|FIVES DO BRASIL COMERCIO DE MAQUINAS INDUSTRIAIS E SERVICOS |10237776000183|NULL|NULL|11|35653405|NULL|NULL
|QUEIJO BEL BRASIL COMERCIO DE LATICINIOS LTDA.|15260445000188|NULL|NULL|11|30319451|NULL|NULL
|TERVEYS DISTRIBUIDORA DE PRODUTOS PARA A SAUDE LTDA|14101327000164|NULL|NULL|11|NULL|NULL|NULL
|EMAILVISION - PROGRAMAS DE INFORMATICA DE ENVIO DE CORREIOS |12420091000101|NULL|NULL|11|NULL|NULL|NULL
|VIF DO BRASIL PRESTACAO DE SERVICOS E EDICAO DE SOFTWARES L|08803642000130|NULL|NULL|11|39263881|NULL|NULL
|VIGNERONS IMPORTACAO E EXPORTACAO LTDA|14422264000148|NULL|NULL|NULL|NULL|NULL|NULL
|SERGE FERRARI BRASIL COMERCIO, IMPORTACAO E EXPORTACAO|15161660000121|NULL|NULL|NULL|NULL|NULL|NULL
|VSL BRASIL RECUPERACAO E CONSTRUCAO LTDA.|14123014000107|NULL|NULL|11|31593042|NULL|NULL
|TEXTILE HI-TEC DO BRASIL,COMERCIO,IMPORTACAO E EXPORTACAO DE|11844984000103|NULL|NULL|11|81815930|NULL|NULL
|GCL GROUP CONSULTORIA EM LOGISTICA LTDA. - ME|10306261000198|NULL|NULL|NULL|NULL|NULL|NULL
|ALTIOS DO BRASIL CONSULTORIA E REPRESENTACOES LTDA. |08852544000193|NULL|NULL|11|32622903|NULL|NULL
|GENERIX GROUP BRASIL SERVICOS DE INFORMATICA LTDA. |07604448000163|NULL|NULL|11|30322387|NULL|NULL
|SMART AD SERVER DO BRASIL LTDA |15615160000112|NULL|NULL|11|72293174|NULL|NULL
|KINGCASE COMERCIO DE ACESSORIOS PARA CELULAR E INFORMATICA L|58764663000162|NULL|NULL|11|82077646|NULL|NULL
|SIEGELCLIP INDUSTRIA E COMERCIO DE GRAMPOS LTDA - EPP |03008911000153|www.siegelclip.com.br|NULL|11|20516722|NULL|NULL
|KAMACHA IND. E COMERCIO LTDA - EPP|04009366000182|www.kamacha.ind.br|NULL|11|20511377|NULL|NULL
|ZSS - ASSISTENCIA EMPRESARIAL E ADMINISTRATIVA LTDA - ME|09230529000176|NULL|NULL|11|41159332|NULL|NULL
|H.P. ANASTASIOU PRODUCOES VISUAIS E MUSICAIS - EPP|13113356000183|NULL|NULL|11|38251485|NULL|NULL
|S.E. ANASTASIOU PRODUCOES VISUAIS - EPP|12996777000137|NULL|NULL|11|38251485|NULL|NULL
|VISUAL FARM PRODUCOES VISUAIS E MUSICAIS LTDA - EPP|08333537000185|NULL|NULL|11|38251485|NULL|NULL
|ALEXIS EVANGELOS ANASTASIOU - ME|09326006000128|NULL|NULL|11|38251485|NULL|NULL
|VISUAL FARM PRODUCOES LTDA - EPP|14183611000127|NULL|NULL|11|38251485|NULL|NULL
|ERIOS EQUIPAMENTOS TECNICOS E CIENTIFICOS LTDA - EPP|59576397000107|NULL|NULL|11|22749466|NULL|NULL
|PROJETO ENVIDRACAMENTOS COMERCIO E SERVICOS LTDA - EPP|12514267000186|NULL|NULL|11|23862700|NULL|NULL
|TECNOFIS CONTABILIDADE E PLANEJAMENTO SC LTDA - ME|43193424000122|NULL|NULL|11|32270066|NULL|NULL
|CM SAMPAIO COMERCIO DE QUEIMADORES - EPP|10727383000158|NULL|NULL|11|38340155|NULL|NULL
|FRADEMA CONSULTORES TRIBUTARIOS LTDA.|32121543000153|NULL|NULL|21|22405127|NULL|NULL
|CONTABIL PRESIDENTE LTDA - EPP |12584083000192|NULL|NULL|11|55833634|NULL|NULL
|CLANAP COMÉRCIO IMPORTAÇÃO EXPORTAÇÃO LTDA|02371883000171|NULL|NULL|11|22713434|NULL|NULL
|ULISSES CELSO GARCIA GONCALVES - EIRELI|06814341000187|NULL|NULL|11|42263790|NULL|NULL
|MARCELO GOMIDE ESTANISLAU ASSESSORIA CONTABIL - ME|10904619000184|NULL|NULL|11|39263222|NULL|NULL
|ROTTERDAN FERRO E ACO LTDA - EPP|56764244000103|NULL|NULL|11|44799697|NULL|NULL
|EXATUS CONT ASSESSORIA CONTABIL S/S LTDA. - ME|04914322000105|www.exatuscont.com.br|NULL|11|29010757|NULL|NULL
|REDMA ASSESSORIA E CONSULTORIA CONTABIL LTDA - ME|66060096000191|NULL|NULL|11|39125500|NULL|NULL
|VILMA ALMEIDA DA SILVA CONTABILIDADE |05053842000125|NULL|NULL|11|47891275|NULL|NULL
|L&amp;F ASSESSORIA CONTABIL E FISCAL LTDA - ME|02143560000120|NULL|NULL|13|32343009|NULL|NULL
|EMMERICH ASSESSORIA CONTABIL S/S LTDA - ME |02030806000158|NULL|NULL|11|58120502|NULL|NULL
|ON-LINE SERVICOS CONTABEIS S/S LTDA - ME |04696721000139|NULL|NULL|11|55134397|NULL|NULL
|ORGATEL CONTABILIDADE E ASSUNTOS FISCAIS LTDA - ME |62571559000129|NULL|NULL|11|33377644|NULL|NULL
|ACR EQUIPAMENTOS INDUSTRIAIS LTDA - EPP|69258440000140|NULL|NULL|11|20939444|NULL|NULL
|SHAMMA CONTABILIDADE LTDA - EPP|14162658000104|NULL|NULL|11|43664922|NULL|NULL
|COMERCIAL WAVE SOLUTIONS|26723401000163|www.wavesolutions.com.br|NULL|11|23395807|NULL|NULL
|ALEXANDRE RIGON TEIXEIRA PERDIZ PINHEIRO - ME |05506490000116|NULL|NULL|11|32081816|NULL|NULL
|DUE PAROLE CONSULTORIA LINGUISTICA LTDA |10876366000182|NULL|NULL|NULL|NULL|NULL|NULL
|ARTE BAHIA PRODUTOS PARA ARTESANATO LTDA - ME |07744637000131|NULL|NULL|11|59043923|NULL|NULL
|CASA DAS BATERIAS GALILEU EIRELI - EPP|55194856000137|NULL|NULL|11|29540637|NULL|NULL
|AUTO PECAS REGINOPOLIS LTDA - ME |55573299000165|NULL|NULL|11|35891285|NULL|NULL
|BELA NOIVA CONFECCOES LTDA - ME|05799995000116|NULL|NULL|11|32280656|NULL|NULL
|BELLA IMPORTACAO E EXPORTACAO LTDA - EPP |12009991000152|NULL|NULL|11|32280656|NULL|NULL
|CARLOS AUGUSTO MIYASHIRO - ME|05602379000123|NULL|NULL|11|23095508|NULL|NULL
|CERPE DO BRASIL PALETES E EMBALAGENS LTDA - ME|04436286000103|NULL|NULL|11|47124730|NULL|NULL
|CHAMA DOURADA CONFECCOES LTDA - ME|02182557000116|NULL|NULL|11|39047425|NULL|NULL
|CHAQUER CAMA, MESA E BANHO LTDA|08242021000125|NULL|NULL|11|29540299|NULL|NULL
|CONFECCOES PHILEO LTDA - ME |01233049000157|NULL|NULL|11|26922610|NULL|NULL
|CONFECCOES VARRIALLE LTDA - EPP|09491444000141|NULL|NULL|11|27938550|NULL|NULL
|CORBRAS COMERCIO IMPORTACAO E EXPORTACAO LTDA |15404563000112|NULL|NULL|11|34730887|NULL|NULL
|DENTAL KOTA COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA - ME |04496012000100|NULL|NULL|11|37022001|NULL|NULL
|COSTA &amp; GUIMARAES COMERCIO DE CONFECCOES LTDA - EPP|01876420000107|NULL|NULL|11|35555612|NULL|NULL
|COSTA &amp; GUIMARAES COMERCIO DE CONFECCOES LTDA - EPP |01876420000280|NULL|NULL|11|35555612|NULL|NULL
|Gift Box com Comercio Atacado e Varejo LTDA ME|17839431000149|www.thegiftbox.com.br|NULL|11|30609692|NULL|NULL
|DIMENSAO COMERCIO DE ROUPAS LTDA - EPP |15697060000182|NULL|NULL|11|26949283|NULL|NULL
|DINIZ CRIACOES GRAFICAS LTDA - ME|56574155000196|NULL|NULL|11|22818768|NULL|NULL
|DIX SEPT COMERCIO DE CONFECCOES LTDA - ME |06177909000104|NULL|NULL|11|32621630|NULL|NULL
|DOUGLAS DE CASTRO KOCHI - EPP |12075840000100|NULL|NULL|11|23416444|NULL|NULL
|DYNAMIC COMERCIO DE ROUPAS LTDA. - ME |72698897000180|NULL|NULL|11|35555612|NULL|NULL
|E-AUTO PARTS DISTRIBUIDORA DE AUTO PECAS LTDA - EPP|15587999000194|NULL|NULL|11|37917543|NULL|NULL
|ESSENCIAL ELETROMECANICA LTDA - EPP|12449355000141|NULL|NULL|11|38957000|NULL|NULL
|FABIA DA NOBREGA COSTA - ME |08267201000161|NULL|NULL|11|32280656|NULL|NULL
|FERNANDO VICENTE GONCALES - EPP |15743056000103|NULL|NULL|11|49940284|NULL|NULL
|FERRAGENS SAO MARCOS LTDA - ME |07717418000163|NULL|NULL|11|29189988|NULL|NULL
|FICCAO COMERCIO DE ROUPAS LTDA - ME|03111241000104|NULL|NULL|11|35555612|NULL|NULL
|FRELANZZA COMERCIAL LTDA - EPP |49822844000107|NULL|NULL|11|47530497|NULL|NULL
|HABEAS PROCESSAMENTO DE DADOS - ME |05575687000107|NULL|NULL|NULL|NULL|NULL|NULL
|INDUSTRIA E COMERCIO DE ARAMES ROGINI PERES LTDA|44639755000106|NULL|NULL|11|26949283|NULL|NULL
|INDUSTRIE CONFECCOES LTDA - EPP |12316918000123|NULL|NULL|11|26939124|NULL|NULL
|ITALO AUGUSTO POZZI VIANI EMBALAGENS - EPP|14211920000163|NULL|NULL|11|28133700|NULL|NULL
|J.D.F.COMERCIO DE METAIS LTDA - ME|05562893000182|NULL|NULL|11|26184322|NULL|NULL
|JOSE MAXIMINO TEIXEIRA PERDIZ PINHEIRO - EPP|58876590000109|NULL|NULL|11|32729111|NULL|NULL
|KAIRON MODAS LTDA - EPP|01076221000106|NULL|NULL|11|26972567|NULL|NULL
|KAIRON MODAS LTDA - EPP|01076221000297|NULL|NULL|11|33118567|NULL|NULL
|KEIKO SAN PRODUTOS ALIMENTICIOS LTDA - EPP|59501502000149|NULL|NULL|11|32459494|NULL|NULL
|KOTA EQUIPAMENTOS ODONTOLOGICOS LTDA - ME|06018829000106|NULL|NULL|11|46174168|NULL|NULL
|KOTA EQUIPAMENTOS ODONTOLOGICOS LTDA - ME|06018829000289|NULL|NULL|11|41486567|NULL|NULL
|KOTA IMPORTS LTDA|00325031000112|NULL|NULL|11|37022001|NULL|NULL
|KOTA INDUSTRIA E COMERCIO EIRELI|68174788000196|NULL|NULL|11|37833064|NULL|NULL
|KOTA KNEBEL PRODUTOS ODONTOLOGICOS LTDA - EPP|14346610000156|NULL|NULL|11|46174168|NULL|NULL
|LAUCIDIO MALTA CARRIJO ME|01562151000104|NULL|NULL|11|55883921|NULL|NULL
|LORUSSO PRODUTOS ALIMENTCIOS EIRELI |13791998000131|NULL|NULL|11|32459494|NULL|NULL
|MAGIC KIDS COMERCIO E REPRESENTACAO LTDA - EPP|13765529000148|NULL|NULL|11|78979671|NULL|NULL
|MARA KAZUMI TAMAKE EQUIPAMENTOS - EPP |14346611000109|NULL|NULL|11|46174168|NULL|NULL
|MARIA DE LOURDES POZZI VIANI EMBALAGENS - EPP |11352954000180|NULL|NULL|11|28133700|NULL|NULL
|MEGAMIX COMERCIO DE BRINQUEDOS E UTILIDADES LTDA - EPP|13454739000115|NULL|NULL|11|23095508|NULL|NULL
|MOREIRA INOX COMERCIO DE METAIS LTDA - EPP|60811999000180|NULL|NULL|11|26184322|NULL|NULL
|MURIA CONFECCOES LTDA - EPP |03230656000199|NULL|NULL|11|26019203|NULL|NULL
|NEBAL COMERCIAL DE ROUPAS EIRELI - EPP|11000362000107|NULL|NULL|11|32621630|NULL|NULL
|NIKIMBA CONFECCOES LTDA - EPP|02008172000137|NULL|NULL|11|26930066|NULL|NULL
|NOVIS PRODUTOS DE LIMPEZA E EPI'S EIRELI |15740481000149|NULL|NULL|11|39388974|NULL|NULL
|NOVO ESPACO COMERCIO DE TAPETES LTDA - ME|10210290000151|NULL|NULL|11|38053460|NULL|NULL
|OEMME DO BRASIL COMERCIO DE MAQUINAS LTDA|16539386000225|NULL|NULL|11|23456777|NULL|NULL
|PAMCOLD DO BRASIL LTDA - EPP |11128320000148|NULL|NULL|11|22151048|NULL|NULL
|PLURAL PLAST INDUSTRIA E COMERCIO LTDA - ME|01192781000126|NULL|NULL|11|29149704|NULL|NULL
|POLINOMIO COMERCIO DE CONFECCOES LTDA - ME|04980331000196|NULL|NULL|11|35555612|NULL|NULL
|POTENSUR COMERCIO DE MAQUINAS INDUSTRIAIS LTDA - EPP |16568539000181|NULL|NULL|11|34730880|NULL|NULL
|PRINCIPAL TEXTIL COMERCIAL DE TECIDOS LTDA - ME |05598254000177|NULL|NULL|11|26953285|NULL|NULL
|PRODUX MODA LTDA - ME|05724056000102|NULL|NULL|11|26948844|NULL|NULL
|QUALITY SISTEMAS DE ENERGIA LTDA - ME '|10692808000130|NULL|NULL|11|27815710|NULL|NULL
|REARY IMPORTACAO, EXPORTACAO, COMERCIO E PARTICIPACOES LTDA |11385503000149|NULL|NULL|11|41547555|NULL|NULL
|SANIPEL SOLUCOES PARA LIMPEZA LTDA - EPP|11204061000197|NULL|NULL|15|45862736|NULL|NULL
|SONAN INDUSTRIA E COMERCIO LTDA - ME|61366787000102|NULL|NULL|11|20634834|NULL|NULL
|THIPTON CONFECCOES LTDA - EPP |04442731000148|NULL|NULL|11|26184922|NULL|NULL
|THIPTON CONFECCOES LTDA - EPP |04442731000229|NULL|NULL|11|26183989|NULL|NULL
|TRANSIT COMERCIO DE ROUPAS LTDA. - ME |09123765000193|NULL|NULL|11|35555612|NULL|NULL
